drug_name,atc,summary,Persistence,Bioaccumulation,Toxicity,Risk
dapagliflozin,A10BX09,SummaryEnvironmental information is missing on fass.se (2021-09-29). It is voluntary for manufacturers to provide information about environmental impact on fass.se. This summary information on bioaccumulation and toxicity comes from the assessment report and previous environmental information on fass.se. The information about persistence comes from the assessment report. The risk comes from Fass. , Dapagliflozin slowly degrades in the environment, Dapagliflozin has low potential for bioaccumulation, Dapagliflozin has moderate chronic toxicity, The use of dapagliflozin (sales data Sweden 2016) has been judged to entail a insignificant risk of environmental impact
darbepoetinalfa,B03XA02,SummaryHazard - , - , - , - , Exempt 
darifenacin,G04BD10,SummaryHazard 6 , 3 , 0 , 3 , Insignificant 
darunavir,J05AE10,SummaryHazard 5* , 3 , 0 , 2* , Insignificant 
dasatinib,L01XE06,SummaryHazard 5 , 3 , 0 , 2 , Low
daunorubicin,L01DB02,SummaryHazard - , - , - , - , Cannot be excluded
deferasirox,V03AC03,SummaryHazard 6 , 3 , 0 , 3 , Insignificant 
deferoxamine,V03AC01,SummaryHazard 1* , 0 , 0 , 1* , Insignificant 
denosumab,M05BX04,"SummaryRisk. The use of amino acids, proteins and peptides is not considered to have any environmental impact. This information comes from Fass.",see summary,see summary,see summary,see summary
dequalinium,R02AA02,SummaryEnvironmental information is missing on fass.se (2022-04-11). It is voluntary for manufacturers to provide information about environmental impact on fass.se.,see summary,see summary,see summary,see summary
desflurane,N01AB07,SummaryHazard - , - , - , - , Cannot be excluded
desloratadine,R06AX27,"SummaryThis summary information on persistence, bioaccumulation and toxicity is based on previous environmental information on fass.se. Environmental information is missing (2021-06-28). It is voluntary for manufacturers to provide information about environmental impact on fass.se. The risk comes from the report of Goodpoint 2019. ", Desloratadine is potentially persistent, Desloratadine has low potential for bioaccumulation, Desloratadine has moderate chronic toxicity, The use of desloratadine in Sweden has been considered to result in low environmental risk (2019)
desmopressin,H01BA02,"SummaryDesmopressin is a peptide. Risk. The use of amino acids, proteins and peptides is not considered to have any environmental impact but see below for further information from Ferring. This summary information comes from Fass.",see summary,see summary,see summary,see summary
desogestrel,G03AC09,SummaryDesogestrel is converted in the body into the active metabolite etonogestrel. Environmental data from Fass refer to etonogestrel. This summary information comes from Fass. See also the report from Goodpoint. , Desogestrel is slowly degraded in the environment, Desogestrel has low potential for bioaccumulation, Desogestrel has very high chronic toxicity, The use of desogestrel (sales data Sweden 2018) has been considered to result in moderate environmental risk
dexamethasone,H02AB02,SummaryHazard - , - , 0 , - , Cannot be excluded
dexamfetamine,N06BA02,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se (2018-10-30). It is voluntary for manufacturers to provide information about environmental impact on fass.se
dexrazoxane,V03AF02,SummaryHazard - , - , - , - , Cannot be excluded
diazepam,N05BA01,SummaryThis summary information comes from Fass and the risk from the report from Goodpoint. , No data, No data, No data, See below Suggestions on how to reduce emissions of diazepam
diboterminalfa,M05BC01,SummaryHazard - , - , - , - , Exempt Underlying data for risk is from assessment report
diclofenac,M01AB05,SummaryThis summary information comes from Fass and the risk from the report from Goodpoint. , Diclofenac is slowly degraded in the environment, Diclofenac has low potential for bioaccumulation, Diclofenac has moderate chronic toxicity, See below. Diclofenac is not recommended in the Wise list (a list of recommended pharmaceuticals from the Stockholm Drug and Therapeutics Committee). Suggestions on how to reduce the emissions of diclofenac
dicloxacillin,J01CF01,SummaryHazard - , - , - , - , Cannot be excluded 
didanosine,J05AF02,SummaryHazard 3* , 3 , 0 , 0* , Insignificant 
dienogest,G03DB08,SummaryThis summary information comes from Fass. , Dienogest is persistent, Dienogest has low potential for bioaccumulation, Dienogest has very high acute/chronic toxicity, The use of dienogest (sales data Sweden 2018) has been considered to result in low environmental risk
digoxin,C01AA05,SummaryEnvironmental information is missing for digoxin on fass.se (2022-05-18). It is voluntary for manufacturers to provide information about environmental impact on fass.se.,see summary,see summary,see summary,see summary
dihydrotachysterol,A11CC02,SummaryHazard - , - , - , - , Exempt 
diltiazem,C08DB01,SummaryHazard 4* , 3 , 0 , 1* ," Cannot be excluded In Sweden diltiazem has been found in wild fish, however in concentrations below therapeutic concentrations. Mekanism-based effect data is missing. "
dinoprostone,G02AD02,Summary," It cannot be excluded that dinoprostone is persistent, due to the lack of data"," It cannot be excluded that dinoprostone bioaccumulates, due to the lack of data"," It cannot be excluded that dinoprostone is toxic, due to the lack of data", 
diphenhydramine,D04AA32,SummaryHazard - , - , 0 , - , Cannot be excluded Underlying data for 
dipyridamole,B01AC07,SummaryHazard 5 , 3 , 0 , 2 , Low
disopyramide,C01BA03,SummaryHazard 4* , 3* , 0 , 1* , Cannot be excluded 
disulfiram,N07BB01,Summary," It cannot be excluded that disulfiram is persistent, due to the lack of data", Disulfiram has low potential for bioaccumulation," It cannot be excluded that disulfiram is toxic, due to the lack of data", 
docetaxel,L01CD02,SummaryHazard - , - , 0 , - , Cannot be excluded Underlying data for 
dolutegravir,J05AX12,SummaryHazard 6 , 3 , 0 , 3 , Insignificant 
donepezil,N06DA02,SummaryThis summary information on persistence and toxicity comes from previous environmental information on fass.se (2011-04-29). Information about bioaccumulation and risk comes from the report from Goodpoint. , Donepezil is potentially persistent," With a log P around 4.7 for donepezil, a strong bioconcentration can be expected", Acute toxicity data are available only for crustacean. ,0.0
dopamine,C01CA04,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
dorzolamide,S01EC03,SummaryHazard 3* , 3 , 0 , 0* , Cannot be excluded 
doxorubicin,L01DB01,SummaryHazard - , - , - , 2* , Cannot be excluded 
doxycycline,J01AA02,Summary," It cannot be excluded that doxycycline is persistent, due to the lack of data"," It cannot be excluded that doxycycline bioaccumulates, due to the lack of data"," It cannot be excluded that doxycycline is toxic, due to the lack of data", 
droperidol,N05AD08,Summary," It cannot be excluded that droperidol is persistent, due to the lack of data"," It cannot be excluded that droperidol bioaccumulates, due to the lack of data"," It cannot be excluded that droperidol is toxic, due to the lack of data", 
dulaglutide,A10BX14,"SummaryRisk. The use of amino acids, proteins and peptides is not considered to have any environmental impact. Even though biomolecules, such as vaccines and hormones, are exempted they should still be regarded as biologically active. This summary information comes from Fass.",see summary,see summary,see summary,see summary
duloxetine,N06AX21,Summary, Duloxetine is considered to be slowly degraded in the environment, Duloxetine has low potential for bioaccumulation, Duloxetine has very high chronic toxicity, The use of duloxetine (sales data Sweden 2020) has been considered to result in low environmental risk. This summary information comes from Fass. The environmental impact of duloxetine is poorly studied according to report LS 2016–0634
dutasteride,G04CB02,SummaryHazard 5* , 3 , 0 , 2* , Insignificant 
dydrogesterone,G03DB01,SummaryEnvironmental information is missing on fass.se for dydrogesterone (2021-04-21). It is voluntary for manufacturers to provide information on environmental impact on fass.se.,see summary,see summary,see summary,see summary
ebastine,R06AX22,SummaryHazard - , - , 3 , - , Low Underlying data for 
econazole,G01AF05,Summary," It cannot be excluded that econazole is persistent, due to the lack of data"," It cannot be excluded that econazole bioaccumulates, due to the lack of data", Econazole has very high acute toxicity, The use of econazole (sales data Sweden 2015) has been considered to result in low environmental risk. The data on hazard and risk are based on previous environmental information on fass.se. Environmental information is missing (2022-06-30). It is voluntary for manufacturers to provide information about environmental impact on fass.se
eculizumab,L04AA25,SummaryHazard - , - , - , - , Exempt 
efavirenz,J05AG03,SummaryHazard 6 , 3 , 0 , 3 , Insignificant
eletriptan,N02CC06,SummaryHazard 5* , 3* , 0 , 2* , Cannot be excluded 
emedastine,S01GX06,SummaryThis summary information comes from Fass. ," It cannot be excluded that emedastine is persistent, due to the lack of data", Emedastine has low potential for bioaccumulation," It cannot be excluded that emedastine is toxic, due to the lack of data", 
enalapril,C09AA02,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from Fass. The information on bioaccumulation and toxicity is confirmed by the report from Goodpoint. Information about the risk comes from the report from Goodpoint. "," It cannot be excluded that enalapril is persistent, due to the lack of data", Enalapril has low potential for bioaccumulation, Enalapril has low acute toxicity, The use of enalapril has been considered to result in low environmental risk
enfuvirtide,J05AX07,SummaryHazard - , - , - , - , See below
enoxaparin,B01AB05,SummaryHazard - , - , - , - , Exempt 
entacapone,N04BX02,SummaryHazard 5* , 3 , 0 , 2* , Low 
entecavir,J05AF10,SummaryHazard 4 , 3 , 0 , 1 , Insignificant
ephedrine,R01AB05,Summary," It cannot be excluded that ephedrine is persistent, due to the lack of data", Ephedrine has low potential for bioaccumulation," It cannot be excluded that ephedrine is toxic, due to the lack of data", 
epinastine,S01GX10,SummaryHazard - , - , - , - , Cannot be excluded 
epinephrine,C01CA24,SummaryThis summary information comes from Fass. ," It cannot be excluded that epinephrine is persistent, since no data are available", Epinephrine has low potential for bioaccumulation, No data, 
epirubicin,L01DB03,SummaryHazard - , - , - , - , Cannot be excluded 
eplerenone,C03DA04,SummaryEnvironmental information is missing on fass.se (2022-04-26). It is voluntary for manufacturers to provide information about environmental impact on fass.se.,see summary,see summary,see summary,see summary
eprosartan,C09CA02,SummaryHazard 3 , 3 , 0 , 0 , See below 
eptifibatide,B01AC16,SummaryHazard - , - , 0 , - , Cannot be excluded 
erlotinib,L01XE03,SummaryHazard 3 , 3 , 0 , 0 , Insignificant
erythromycin,D10AF02,SummaryThis summary information comes from Fass 2015 and the risk is from the report from Goodpoint. , Erythromycin is potentially persistent, Erythromycin has low potential for bioaccumulation," Erythromycin has very high acute toxicity. However, studies on blue-green algae (Cyanophyta) according to CHMP guidelines are lacking", See below. Suggestions on how to reduce the emissions of erythromycin
escitalopram,N06AB10,"SummaryEnvironmental information for escitalopram is missing on fass.se (2020-10-12). It is voluntary for manufacturers to provide information about environmental impact on fass.se. This summary information on persistence, bioaccumulation and toxicity is based on previous environmental information in Fass from 2017. For risk, see the environmental assessments from Goodpoint. ", Escitalopram oxalate is slowly degraded in the environment, Escitalopram oxalate has low potential for bioaccumultaion, Escitalopram has high chronic toxicity," See the environmental assessments from Goodpoint below. Citalopram is a racemate of which one of the enantiomers, escitalopram (S-form), has the pharmacological effect. In assessing the total environmental risk the quantity of sold citalopram should also be taken into account. Suggestions on how to reduce emissions of escitalopram and citalopram"
esmolol,C07AB09,SummaryHazard - , - , - , - , Cannot be excluded 
esomeprazole,A02BC05,"SummaryThis summary information about persistence, bioccumulation and toxicity comes from the assessment report. The risk is supported by all three references. ", Esomeprazole is not persistent, Esomeprazole has low potential for bioaccumulation, Esomeprazole has moderate chronic toxicity, The use of esomeprazole has been considered to result in insignificant environmental risk
estradiol,G03CA03,"SummaryThis summary information on estradiol comes from Fass Novo Nordisk and Fass Bayer (persistence, bioaccumulation), Fass Bayer (toxicity) and the risk from the report Goodpoint. ", Estradiol is slowly degraded in the environment, Estradiol has low potential to bioaccumulate, Estradiol has very high chronic toxicity, See the report from Goodpoint. Suggestions on how to reduce emissions of estradiol
estramustine,L01XX11,SummaryHazard - , - , - , - , Cannot be excluded 
estriol,G03CA04,"SummaryEnvironmental information is missing on fass.se for estriol (2021-04-21). It is voluntary for manufacturers to provide information about environmental impact on fass.se.Pharmaceutial residues in the aquatic environment in SwedenReport Pharmaceutial residues in the Stockholm aquatic environment. Estriol has been measured in treated wastewater at concentrations up to 20 ng/L in Stockholm, Sweden. The reduction rate in the wastewater treatment plants Henriksdal and Bromma is reported to be 98 %.",see summary,see summary,see summary,see summary
etanercept,L04AB01,"SummaryEtanercept is a protein. Risk. Use of amino acids, proteins and peptides is not considered to cause any environmental impact.  This summary information comes from Fass and corresponding information can be found in assessment reports. In the environmental information from Sandoz AS and Pfizer: Even though biomolecules are exempted they should still be regarded as biologically active. ",see summary,see summary,see summary,see summary
ethosuximide,N03AD01,Summary, No data, No data, No data, Cannot be excluded. Environmental information is missing on fass.se for ethosuximide (2020-09-07). It is voluntary for manufacturers to provide information on environmental impact on fass.se
ethylmorphine,R05DA01,SummaryHazard - , - , - , - , Cannot be excluded 
etidronicacid,M05BA01,SummaryHazard 5 , 3 , 0 , 2 , Insignificant
etilefrine,C01CA01,SummaryHazard 8* , 3 , 3* , 2* , Cannot be excluded
etonogestrel,G03AC08,SummaryThis summary information about hazard comes from fass.se. The risk is from the report by Goodpoint. , Etonogestrel is slowly degraded in the environment, Etonogestrel has low potential for bioaccumulation, Etonogestrel has very high chronic toxicity, There is a risk associated with the use of etonogestrel/desogestrel and that these substances appear additive with other androgenic gestagens in the environment
etoposide,L01CB01,SummaryHazard 3* , 3* , 0 , 0* , Cannot be excluded
etoricoxib,M01AH05,SummaryHazard 4 , 3 , 0 , 1 , Low 
etravirine,J05AG04,SummaryHazard 6* , 3 , 0 , 3* , Insignificant
everolimus,L01XE10,SummaryHazard 8 , 3 , 3 , 2 , Insignificant 
exemestane,L02BG06,SummaryHazard - , - , - , - , Cannot be excluded 
exenatide,A10BX04,SummaryHazard - , - , - , - , Exempt
ezetimibe,C10AX09,Summary, Ezetimibe is slowly degraded in the environment, Ezetimibe has low potential for bioaccumulation, Ezetimibe has high chronic toxicity, See the report from Goodpoint 2019. This summary information about hazard comes from Fass. For the risk see the report from Goopoint 2019
famciclovir,J05AB09,SummaryHazard 3 , 3 , 0 , 0 , Insignificant
febuxostat,M04AA03,Summary," It cannot be excluded that febuxostat is persistent, due to the lack of data"," It cannot be excluded that febuxostat bioaccumulates, due to the lack of data"," It cannot be excluded that febuxostat is toxic, due to the lack of data", 
felbamate,N03AX10,SummaryHazard 4* , 3 , 0 , 1* , Cannot be excluded
felodipine,C08CA02,"SummaryThis summary information about persistence, bioaccumulation och toxicity comes from Fass. The risk comes from the reports by Goodpoint. ", Felodipine is potentially persistent, Felodipine has low potential for bioaccumulation, Felodipine has very high acute toxicity, See below reports by Goodpoint. Suggestions on how to reduce emissions of felodipine
fenofibrate,C10AB05,SummaryEnvironmental information is missing for fenofibrate on fass.se (2021-04-15). It is voluntary for manufacturers to provide information about environmental impact on fass.se. This summary information on toxicity and persistence is based on previous environmental information on fass.se for Lipanthyl (fenofibrat) from Abbott (downloaded 2013-06-25). Bioaccumulation and risk come from the report from Goodpoint. , Fenofibrate is slowly degraded in the environment," All fibrates examined are fat soluble with a log P between 3.9 and 5.2. This is likely low enough for some to be found in soluble form in surface water, but at the same time high enough to bioconcentrate effectively", Fenofibrate has low chronic toxicity," The use of bezafibrate, fenofibrate and gemfibrozil is not considered to pose an environmental risk"
fentanyl,N02AB03,SummaryHazard 4 , 3 , 0 , 1 , Cannot be excluded 
fesoterodine,G04BD11,SummaryHazard 0 , 0 , 0 , 0 , Insignificant
fexofenadine,R06AX26,SummaryHazard 3 , 3 , 0 , 0 , See below 
filgrastim,L03AA02,SummaryHazard - , - , - , - , Exempt 
finasteride,G04CB01,Summary, Finasteride is potentially persistent, Finasteride has low potential for bioaccumulation, Finasteride has high chronic toxicity, The use of finasteride (sales data Sweden 2018) has been considered to result in insignificant environmental risk. This summary information comes from Fass
fingolimod,L04AA27,SummaryHazard 3 , 0 , 0 , 3 , Insignificant 
flecainide,C01BC04,Summary," It cannot be excluded that flecainide is persistent, due to the lack of data"," It cannot be excluded that flecainide bioaccumulates, due to the lack of data"," It cannot be excluded that flecainide is toxic, due to the lack of data", 
flucloxacillin,J01CF05,Summary," It cannot be excluded that flucloxacillin is persistent, due to the lack of data", Flucloxacillin has a low potential to bioaccumulate," It cannot be excluded that flucloxacillin is toxic, due to the lack of data", 
fluconazole,J02AC01,SummaryEnvironmental information is available on fass.se for Diflucan (2021-09-21) but with information that data is missing.It is voluntary for manufacturers to provide information on environmental impact on fass.se. Data on bioaccumulation comes from previous environmental information on fass.se. Fluconazole is monitored within the framework of EU water legislation. ," It cannot be excluded that fluconazole is persistent, due to the lack of data", Fluconazole has low potential for bioaccumulation," It cannot be excluded that fluconazole is toxic, due to the lack of data", 
fludarabine,L01BB05,SummaryHazard - , - , - , - , Cannot be excluded 
flumazenil,V03AB25,SummaryHazard 4 , 3 , 0 , 1 , Insignificant
flunitrazepam,N05CD03,SummaryHazard 4* , 3 , 0 , 1* , Cannot be excluded
fluocinoloneacetonide,C05AA10,Summary," It cannot be excluded that fluocinolone acetonide is persistent, due to the lack of data"," It cannot be excluded that fluocinolone acetonide bioaccumulates, due to the lack of data"," It cannot be excluded that fluocinolone acetonide is toxic, due to the lack of data", 
fluorescein,S01JA01,SummaryHazard - , - , 0 , - , Cannot be excluded 
fluorouracil,L01BC02,Summary," It cannot be excluded that fluorouracil is persistent, due to the lack of data", Fluorouracil has low potential for bioaccumulation," It cannot be excluded that fluorouracil is toxic, due to the lack of data", 
fluoxetine,N06AB03,"SummaryEnvironmental information about fluoxetine is missing on fass.se (2020-11-02). It is voluntary for manufacturers to provide information about environmental impact on fass.se. The data on persistence, bioaccumulation and toxicity are based on previous environmental information on Fass.se. The risk comes from the reports by Goodpoint. ", Fluoxetine is potentially persistent, Fluoxetine has low potential for bioaccumulation, Fluoxetine has very high chronic toxicity, See the reports by Goodpoint. Suggestions on how to reduce emissions of fluoxetine
flupentixol,N05AF01,"SummaryEnvironmental information about flupentixol is missing on fass.se (2020-11-02). It is voluntary for manufacturers to provide information about environmental impact on fass.se. The data on persistence, bioaccumulation and toxicity are based on previous environmental information on Fass.se. The risk comes from the report by Goodpoint. ", No data, Flupentixol has high potential for bioaccumulation, No data, See the report by Goodpoint. Suggestions on how to reduce the emissions of flupentixol
fluphenazine,N05AB02,SummaryHazard 6* , 3 , 0 , 3* , Cannot be excluded 
flutamide,L02BB01,SummaryHazard - , - , 0 , - , Cannot be excluded 
fluticasonefuroate,R01AD12,"SummaryThis summary information about persistence, bioaccumation and toxicity comes from assessment reports and Fass. The conclusion about persistence comes from the assessment reports. The risk comes from the assessment report from 2019. ", Fluticasone furoate is persistent, Fluticasone furoate has low potential for bioaccumulation, Fluticasone furoate has very high chronic toxicity, The use of fluticasone furoate has been considered to result in low environmental risk
fluvastatin,C10AA04,SummaryHazard 4 , 3 , 0 , 1 , Insignificant
fluvoxamine,N06AB08,SummaryHazard 6 , 3 , 0 , 3 , Insignificant 
folicacid,B03BB01,SummaryExempt according to fass.se.,see summary,see summary,see summary,see summary
follitropinalfa,G03GA05,"SummaryFollitropin alfa has the same structure and activity as endogenous FSH. FSH is a pituitary hormone that controls the reproductive system in both males and females. Given the characteristics above, the performance of specific studies for Environmental Risk Assessment was not requested as proteins are biodegradable in the environment. Therefore, Bemfola/Ovaleap (follitropin alfa) is not expected to pose a risk to the environment. This summary information comes from assessment reports.",see summary,see summary,see summary,see summary
follitropinbeta,G03GA06,SummaryHazard - , - , - , - , Se below
fondaparinux,B01AX05,Summary," It cannot be excluded that fondaparinux is persistent, due to the lack of data"," It cannot be excluded that fondaparinux bioaccumulates, due to the lack of data"," It cannot be excluded that fondaparinux is toxic, due to the lack of data", It is stated that fondaparinux is unlikely to result in significant risk to the environment.This summary information comes from the assessment report for Arixtra (fondaparinux sodium) and is according to the company
formoterol,R03AC13,SummaryThis summary information comes from assessment reports and Fass. , Formoterol is potentially persistent, Formoterol has low potential for bioaccumulation, Formoterol has moderate acute toxicity, The use of formoterol (sales data Sweden 2017) has been considered to result in insignificant environmental risk
fosamprenavir,J05AE07,SummaryHazard 3 , 3 , 0 , 0 , Insignificant 
fosinopril,C09AA09,SummaryHazard 4* , 3 , 0 , 1* , Insignificant 
fosphenytoin,N03AB05,SummaryHazard - , - , - , - , Cannot be excluded 
framycetin,R01AX08,SummaryHazard - , - , 0 , - , Cannot be excluded 
fulvestrant,L02BA03,SummaryHazard 3 , 0 , 0 , 3 , Low 
furosemide,C03CA01,SummaryThis summary information comes from Fass. Information on bioaccumulation and risk is supported by the report from Goodpoint. , Furosemide is potentially persistent, Furosemide has low potential for bioaccumulation, Furosemide has low acute toxicity, The use of furosemide (sales data Sweden 2018) has been considered to result in insignificant environmental risk
fusidicacid,D06AX01,Summary," It cannot be excluded that fusidic acid is persistent, due to the lack of data", Fusidic acid has low potential for bioaccumulation," It cannot be excluded that fusidic acid is toxic, due to the lack of data", 
gabapentin,N03AX12,Summary," It cannot be excluded that gabapentin is persistent, due to the lack of data", Gabapentin has low potential for bioaccumulation," It cannot be excluded that gabapentin is toxic, due to the lack of data", 
gadobutrol,V08CA09,SummaryHazard 4* , 3 , 0 , 1* , Cannot be excluded
gadodiamide,V08CA03,SummaryHazard 3 , 3 , 0 , 0 , Insignificant
gadopenteticacid,V08CA01,SummaryHazard 4 , 3 , 0 , 1 , Insignificant 
gadotericacid,V08CA02,SummaryHazard - , - , - , - , Cannot be excluded 
gadoversetamide,V08CA06,SummaryHazard - , - , - , - , Cannot be excluded 
galantamine,N06DA04,"SummaryThis summary information on persistence, biockumulation and toxicity comes from Fass. The risk comes from the Goodpoint report. ", Galantamine is potentially persistent," It cannot be excluded that galantamine bioaccumulates, due to the lack of data", Galantamine has very high acute toxicity, The environmental risk is very low for galantamine from a Swedish perspective
ganciclovir,J05AB06,SummaryHazard 3 , 3 , 0 , 0 , Insignificant
ganirelix,H01CC01,Summary," It cannot be excluded that ganirelix is persistent, due to the lack of data", Ganirelix has high potential for bioaccumulation," It cannot be excluded that ganirelix is toxic, due to the lack of data", 
gefitinib,L01XE02,SummaryHazard 5* , 3 , 0 , 2* , Insignificant 
gemcitabine,L01BC05,SummaryHazard 5 , 3 , 0 , 2 , Insignificant
gemfibrozil,C10AB04,"SummaryEnvironmental information is missing for gemfibrozil on fass.se (2021-04-15). It is voluntary for manufacturers to provide information about environmental impact on fass.se. This summary information on bioaccumulation, toxicity and risk comes from the report from Goodpoint. "," It cannot be excluded that gemfibrozil is persistent, due to the lack of data"," All fibrates examined are fat soluble with a log P between 3.9 and 5.2. This is likely low enough for some to be found in soluble form in surface water, but at the same time high enough to bioconcentrate effectively"," Ecotoxicological studies are extensive for gemfibrozil and scarce for other fibrates. However, many studies are considered to be of low quality and reliability. Available and reliable efficacy data indicate a very low risk for all investigated fibrates"," The use of bezafibrate, fenofibrate and gemfibrozil is not considered to pose an environmental risk"
gentamicin,S01AA11,SummaryHazard 6 , 3 , 0 , 3 , Cannot be excluded
ginkgobiloba,N06DX02,SummaryHazard - , - , - , - , Exempt 
glibenclamide,A10BB01,"SummaryThis summary information for glibenclamide on persistence, bioaccumulation och toxicity comes from Fass. The risk comes from the report by Goodpoint. ", Glibenclamide is potentially persistent, Glibenclamide has high potential for bioaccumulation, Glibenclamide has low chronic toxicity, See the report by Goodpoint. Suggestions on how to reduce the emissions of glibenclamide
glimepiride,A10BB12,Summary, Glimepiride is potentially persistent, Glimepiride has low potential for bioaccumulation, Glimepiride has low acute toxicity, See the report from GoodPoint. This summary information about hazard comes from Fass
glipizide,A10BB07,SummaryHazard 4* , 3* , 0 , 1* , Cannot be excluded 
glucagon,H04AA01,"SummaryThe use of amino acids, proteins and peptides is not considered to have any environmental impact. This summary information comes from Fass.",see summary,see summary,see summary,see summary
glucosamine,M01AX05,Summary," It cannot be excluded that glucosamine is persistent, due to the lack of data"," It cannot be excluded that glucosamine bioaccumulates, due to the lack of data"," It cannot be excluded that glucosamine is toxic, due to the lack of data", 
glyceryltrinitrate,C01DA02,Summary, Glyceryl trinitrate is degraded in the environment, Glyceryl trinitrate has low potential for bioaccumulation, Glyceryl trinitrate has very high acute toxicity, The use of glyceryl trinitrate (sales data Sweden 2019) has been considered to result in insignificant environmental risk. This summary information comes from Fass
glycopyrroniumbromide,A03AB02,SummaryThis summary information comes from assessment reports and Fass. , Glycopyrronium is potentially persistent, Glycopyrronium has low potential for bioaccumulation, Glycopyrronium has moderate acute toxicity, The use of glycopyrronium (sales data Sweden 2018) has been considered to result in insignificant environmental risk
golimumab,L04AB06,SummaryHazard - , - , - , - , Exempt
goserelin,L02AE03,SummaryHazard - , - , - , - , See below
granisetron,A04AA02,SummaryHazard 4 , 3 , 0 , 1 , Insignificant
guaifenesin,R05CA03,SummaryHazard - , - , 0 , - , Cannot be excluded 
haloperidol,N05AD01,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from Fass. The risk comes from the report by Goodpoint. ", The potential for persistence cannot be excluded due to lack of data, Haloperidol has the potential to bioaccumulate in aquatic organisms, Haloperidol has high acute toxicity, See the report by Goodpoint. Suggestions on how to reduce the emissions of haloperidol
heparin,B01AB01,SummaryHeparin is a polysaccharide (carbohydrate). Risk. Use of carbohydrates has been considered to result in insignificant environmental impact. This summary information comes from Fass.,see summary,see summary,see summary,see summary
hyaluronicacid,M09AX01,SummaryHazard - , - , - , - , Exempt 
hydrochlorothiazide,C03AA03,Summary, Hydrochlorothiazide is potentially persistent, Hydrochlorothiazide has low potential for bioaccumulation, Hydrochlorothiazide has low chronic toxicity, The use of hydrochlorothiazide (sales data Sweden 2019) has been considered to result in insignificant environmental risk. This summary information comes from Fass
hydrocortisone,D07AA02,"SummaryFor this summary information, data on bioaccumulation comes from the Plenadren (hydrocortisone) assessment report and risk comes from the report from Goodpoint. "," It cannot be excluded that hydrocortisone is persistent, due to the lack of data", Hydrocortisone has low potential for bioaccumulation," It cannot be excluded that hydrocortisone is toxic, due to the lack of data"," Although both exposure and efficacy data are incomplete for hydrocortisone and prednisolone, there are no strong indications of environmental risk for these two substances. On the contrary, the fish plasma model and reported levels in the environment indicate low risk"
hydromorphone,N02AA03,SummaryHazard - , - , - , - , Cannot be excluded 
hydroxocobalamin,V03AB33,SummaryHazard - , - , - , - , Exempt 
hydroxycarbamide,L01XX05,SummaryHazard 3 , 3 , 0 , 0 , Insignificant 
hydroxychloroquine,P01BA02,"SummaryHazard 5 P 3 B 0 T 2 Risk Insignificant This summary information comes from Fass, see details below. ", Hydroxychloroquine is potentially persistent, Hydroxychloroquine has low potential to bioaccumulate, Hydroxychloroquine has high chronic toxicity, The use of hydroxychloroquine (sales data Sweden 2018) gives the risk insignificant
hydroxyzine,N05BB01,SummaryHazard - , - , 0 , - , Cannot be excluded 
hypromellose,S01KA02,SummaryHazard - , - , - , - , Cannot be excluded
ibandronicacid,M05BA06,SummaryHazard 2 , 0 , 0 , 2 , Insignificant
ibuprofen,M01AE01,SummaryThis summary information comes from Fass and the risk is from the report from Goodpoint. , Ibuprofen is degraded in the environment, Ibuprofen has low potential for bioaccumulation, Ibuprofen has high chronic toxicity, See the report from Goodpoint
idarubicin,L01DB06,SummaryHazard - , - , - , - , Cannot be excluded 
ifosfamide,L01AA06,SummaryHazard 6* , 3 , 0 , 3* , Cannot be excluded 
iloprost,B01AC11,SummaryHazard 1* , 0 , 0 , 1* , Cannot be excluded
imatinib,L01XE01,SummaryHazard 5 , 3 , 0 , 2 , Insignificant
imipramine,N06AA02,SummaryHazard 9 , 3 , 3 , 3 , Cannot be excluded 
imiquimod,D06BB10,SummaryThis summary information comes from assessment report and Fass. ," It can not be excluded that imiquimod is persistent, since no data is available", Imiquimod has low potential for bioaccumulation, No data, 
indacaterol,R03AC18,"SummaryThis summary information comes from assessment reports regarding the information on bioaccumulation, and from Fass. ", Indacaterol is potentially persistent, Indacaterol has low potential for bioaccumulation," Indacaterol has low acute toxicity but see comment under ""Detailed information""", The use of indacaterol (sales data Sweden 2018) has been considered to result in insignificant environmental risk
indinavir,J05AE02,SummaryHazard 1* , 0 , 0 , 1* , Insignificant 
indometacin,M01AB01,SummaryHazard 5* , 3 , 0 , 2* , Cannot be excluded 
infliximab,L04AB02,"SummaryRisk. Use of amino acids, proteins and peptides is not considered to cause any environmental impact.  This summary information comes from Fass and corresponding information can be found in assessment reports. In the environmental information from MSD: ""Even though biomolecules are exempted from environmental risk classification it should be remembered that these molecules may be biologically active.""",see summary,see summary,see summary,see summary
iobitridol,V08AB11,SummaryHazard 3 , 3 , 0 , 0 , Insignificant 
iodixanol,V08AB09,SummaryHazard 3 , 3 , 0 , 0 , Insignificant
iohexol,V08AB02,SummaryHazard 3 , 3 , 0 , 0 , Insignificant
iomeprol,V08AB10,SummaryHazard 3 , 3 , 0 , 0 , Insignificant
