drug_name,atc,uncertainty_atc_match,summary
desflurane,N01AB07,False,SummaryHazard - P - B - T - Risk Cannot be excluded
desloratadine,R06AX27,False,"SummaryThis summary information on persistence, bioaccumulation and toxicity is based on previous environmental information on fass.se. Environmental information is missing (2021-06-28). It is voluntary for manufacturers to provide information about environmental impact on fass.se. The risk comes from the report of Goodpoint 2019. Persistence. Desloratadine is potentially persistent.Bioaccumulation. Desloratadine has low potential for bioaccumulation.Toxicity. Desloratadine has moderate chronic toxicity.Risk. The use of desloratadine in Sweden has been considered to result in low environmental risk (2019)."
desmopressin,H01BA02,False,"SummaryDesmopressin is a peptide. Risk. The use of amino acids, proteins and peptides is not considered to have any environmental impact but see below for further information from Ferring. This summary information comes from Fass."
desogestrel,G03AC09,False,SummaryDesogestrel is converted in the body into the active metabolite etonogestrel. Environmental data from Fass refer to etonogestrel. This summary information comes from Fass. See also the report from Goodpoint. Persistence. Desogestrel is slowly degraded in the environment.Bioaccumulation. Desogestrel has low potential for bioaccumulation.Toxicity. Desogestrel has very high chronic toxicity.Risk. The use of desogestrel (sales data Sweden 2018) has been considered to result in moderate environmental risk.
dexamethasone,H02AB02,False,SummaryHazard - P - B 0 T - Risk Cannot be excluded
dexamfetamine,N06BA02,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se (2018-10-30). It is voluntary for manufacturers to provide information about environmental impact on fass.se.
dexrazoxane,V03AF02,False,SummaryHazard - P - B - T - Risk Cannot be excluded
diazepam,N05BA01,False,SummaryThis summary information comes from Fass and the risk from the report from Goodpoint. Persistence. No data.Bioaccumulation. No data.Toxicity. No data.Risk. See below Suggestions on how to reduce emissions of diazepam
diboterminalfa,M05BC01,False,SummaryHazard - P - B - T - Risk Exempt Underlying data for risk is from assessment report.
diclofenac,M01AB05,False,SummaryThis summary information comes from Fass and the risk from the report from Goodpoint. Persistence. Diclofenac is slowly degraded in the environmentBioaccumulation. Diclofenac has low potential for bioaccumulationToxicity. Diclofenac has moderate chronic toxicity.Risk. See below. Diclofenac is not recommended in the Wise list (a list of recommended pharmaceuticals from the Stockholm Drug and Therapeutics Committee). Suggestions on how to reduce the emissions of diclofenac
dicloxacillin,J01CF01,False,SummaryHazard - P - B - T - Risk Cannot be excluded The medicine is now withdrawn from use in Sweden.
didanosine,J05AF02,False,SummaryHazard 3* P 3 B 0 T 0* Risk Insignificant 
dienogest,G03DB08,False,SummaryThis summary information comes from Fass. Persistence. Dienogest is persistent.Bioaccumulation. Dienogest has low potential for bioaccumulation.Toxicity. Dienogest has very high acute/chronic toxicity.Risk. The use of dienogest (sales data Sweden 2018) has been considered to result in low environmental risk.
digoxin,C01AA05,False,SummaryEnvironmental information is missing for digoxin on fass.se (2022-05-18). It is voluntary for manufacturers to provide information about environmental impact on fass.se.
dihydrotachysterol,A11CC02,False,SummaryHazard - P - B - T - Risk Exempt The use of vitamins is not considered to have any environmental impact.
diltiazem,C08DB01,False,"SummaryHazard 4* P 3 B 0 T 1* Risk Cannot be excluded In Sweden diltiazem has been found in wild fish, however in concentrations below therapeutic concentrations. Mekanism-based effect data is missing. Risk can not be excluded on the basis of the levels determined in the environment in recent years.Diltiazem has been detected in treated wastewater in Stockholm County in the last five years (2012-2016)."
dinoprostone,G02AD02,False,"SummaryPersistence. It cannot be excluded that dinoprostone is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that dinoprostone bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that dinoprostone is toxic, due to the lack of data.Risk. Risk of environmental impact of dinoprostone cannot be excluded, due to the lack of environmental toxicity data.  This summary information comes from Fass. It is voluntary for manufacturers to provide information on environmental impact on fass.se."
diphenhydramine,D04AA32,False,"SummaryHazard - P - B 0 T - Risk Cannot be excluded Underlying data for P, B, T and risk are from Fass.se. Diphenhydramine has been detected in treated wastewater, surface water and fish in Stockholm County in the last five years (2012–2016)."
dipyridamole,B01AC07,False,"SummaryHazard 5 P 3 B 0 T 2 Risk LowThe T-value in the score for hazard refers to acute toxicity. Underlying data for P, B, T and risk are from Fass."
disopyramide,C01BA03,False,SummaryHazard 4* P 3* B 0 T 1* Risk Cannot be excluded 
disulfiram,N07BB01,False,"SummaryPersistence. It cannot be excluded that disulfiram is persistent, due to the lack of data.Bioaccumulation. Disulfiram has low potential for bioaccumulation.Toxicity. It cannot be excluded that disulfiram is toxic, due to the lack of data.Risk. Risk of environmental impact of disulfiram cannot be excluded, due to the lack of environmental toxicity data. This summary information comes from Fass."
docetaxel,L01CD02,False,"SummaryHazard - P - B 0 T - Risk Cannot be excluded Underlying data for B comes from the assessment report. Information about P, ​​T and risk comes from Fass."
dolutegravir,J05AX12,False,SummaryHazard 6 P 3 B 0 T 3 Risk Insignificant The risk classification is based on total sold amount (kg) of the substance expected to be sold in Sweden in 2018.
donepezil,N06DA02,False,"SummaryThis summary information on persistence and toxicity comes from previous environmental information on fass.se (2011-04-29). Information about bioaccumulation and risk comes from the report from Goodpoint. Persistence. Donepezil is potentially persistent.Bioaccumulation. With a log P around 4.7 for donepezil, a strong bioconcentration can be expected.Toxicity. Acute toxicity data are available only for crustacean. Toxicity data where two levels are missing, is recalculated by a factor of 5. This gives a very high acute toxicity.Risk. Certain environmental risk from a Swedish perspective."
dopamine,C01CA04,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
dorzolamide,S01EC03,False,SummaryHazard 3* P 3 B 0 T 0* Risk Cannot be excluded 
doxorubicin,L01DB01,False,SummaryHazard - P - B - T 2* Risk Cannot be excluded 
doxycycline,J01AA02,False,"SummaryPersistence. It cannot be excluded that doxycycline is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that doxycycline bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that doxycycline is toxic, due to the lack of data.Risk. Risk of environmental impact of doxycycline cannot be excluded, due to the lack of environmental toxicity data. Environmental information for the doxycycline is not available on fass.se (2022-11-29). It is voluntary for manufacturers to publish environmental impact information on Fass.se."
droperidol,N05AD08,False,"SummaryPersistence. It cannot be excluded that droperidol is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that droperidol bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that droperidol is toxic, due to the lack of data.Risk. Risk of environmental impact of droperidol cannot be excluded, due to the lack of environmental toxicity data.  Environmental information is missing on fass.se for droperidol (2023-05-24). It is voluntary for manufacturers to provide information on environmental impact on fass.se."
drospirenone,G03FA17,True,"SummaryThis summary information about persistence, bioaccumulation and toxicity comes from Fass. The risk comes from the report by Goodpoint. Persistence. Drospirenone is persistent.Bioaccumulation. Drospirenone has low potential for bioaccumulation.Toxicity. Drospirenone has very high chronic toxicity.Risk. See the report by Goodpoint."
dulaglutide,A10BX14,False,"SummaryRisk. The use of amino acids, proteins and peptides is not considered to have any environmental impact. Even though biomolecules, such as vaccines and hormones, are exempted they should still be regarded as biologically active. This summary information comes from Fass."
duloxetine,N06AX21,False,SummaryPersistence. Duloxetine is considered to be slowly degraded in the environment.Bioaccumulation. Duloxetine has low potential for bioaccumulation.Toxicity. Duloxetine has very high chronic toxicity.Risk. The use of duloxetine (sales data Sweden 2020) has been considered to result in low environmental risk. This summary information comes from Fass. The environmental impact of duloxetine is poorly studied according to report LS 2016–0634.
dutasteride,G04CB02,False,"SummaryHazard 5* P 3 B 0 T 2* Risk Insignificant The T-value in the score for hazard refers to chronic toxicity. Underlying data for P, B, T and risk are from Fass."
dydrogesterone,G03DB01,False,SummaryEnvironmental information is missing on fass.se for dydrogesterone (2021-04-21). It is voluntary for manufacturers to provide information on environmental impact on fass.se.
ebastine,R06AX22,False,SummaryHazard - P - B 3 T - Risk Low Underlying data for B comes from Fass. Risk see report Goodpoint 2019.
econazole,G01AF05,False,"SummaryPersistence. It cannot be excluded that econazole is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that econazole bioaccumulates, due to the lack of data.Toxicity. Econazole has very high acute toxicity.Risk. The use of econazole (sales data Sweden 2015) has been considered to result in low environmental risk. The data on hazard and risk are based on previous environmental information on fass.se. Environmental information is missing (2022-06-30). It is voluntary for manufacturers to provide information about environmental impact on fass.se."
eculizumab,L04AA25,False,SummaryHazard - P - B - T - Risk Exempt This summary information comes scientific discussion/assessment report and Fass environmental information for Soliris (eculizumab). Risk. Exempt.
efavirenz,J05AG03,False,SummaryHazard 6 P 3 B 0 T 3 Risk Insignificant
eletriptan,N02CC06,False,SummaryHazard 5* P 3* B 0 T 2* Risk Cannot be excluded 
emedastine,S01GX06,False,"SummaryThis summary information comes from Fass. Persistence. It cannot be excluded that emedastine is persistent, due to the lack of data.Bioaccumulation. Emedastine has low potential for bioaccumulation.Toxicity. It cannot be excluded that emedastine is toxic, due to the lack of data.Risk. Risk of the environmental impact of emedastine cannot be excluded, since no ecotoxicity data are available."
empagliflozin,A10BD20,False,"SummaryThis summary information comes from Fass and the assessment report. Persistence. Empagliflozin is considered to be degraded in the environment. However, empaglifozin forms a persistent metabolite (M3).Bioaccumulation. Empagliflozin has low potential for bioaccumulation.Toxicity. Empagliflozin has low chronic toxicity.Risk. The use of empagliflozin (sales data Sweden 2019) has been considered to result in insignificant environmental risk."
enalapril,C09AA02,False,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from Fass. The information on bioaccumulation and toxicity is confirmed by the report from Goodpoint. Information about the risk comes from the report from Goodpoint. Persistence. It cannot be excluded that enalapril is persistent, due to the lack of data.Bioaccumulation. Enalapril has low potential for bioaccumulation.Toxicity. Enalapril has low acute toxicity.Risk. The use of enalapril has been considered to result in low environmental risk."
enfuvirtide,J05AX07,False,SummaryHazard - P - B - T - Risk See below
enoxaparin,B01AB05,False,SummaryHazard - P - B - T - Risk Exempt The use of carbohydrates is not considered to have any environmental impact.
entacapone,N04BX02,False,SummaryHazard 5* P 3 B 0 T 2* Risk Low The data on hazard and risk are based on previous environmental information on Fass.se.Environmental information is missing on fass.se (2018-07-12). It is voluntary for manufacturers to provide information about environmental impact on fass.se.
entecavir,J05AF10,False,SummaryHazard 4 P 3 B 0 T 1 Risk Insignificant
ephedrine,R01AB05,False,"SummaryPersistence. It cannot be excluded that ephedrine is persistent, due to the lack of data.Bioaccumulation. Ephedrine has low potential for bioaccumulation.Toxicity. It cannot be excluded that ephedrine is toxic, due to the lack of data.Risk. Risk of environmental impact of ephedrine cannot be excluded, due to the lack of environmental toxicity data. This summary information comes from Fass."
epinastine,S01GX10,False,SummaryHazard - P - B - T - Risk Cannot be excluded 
epinephrine,C01CA24,False,"SummaryThis summary information comes from Fass. Persistence. It cannot be excluded that epinephrine is persistent, since no data are available.Bioaccumulation. Epinephrine has low potential for bioaccumulation.Toxicity. No data.Risk. Risk of environmental impact of epinephrine cannot be excluded, since no ecotoxicity data are available."
epirubicin,L01DB03,False,SummaryHazard - P - B - T - Risk Cannot be excluded 
eplerenone,C03DA04,False,SummaryEnvironmental information is missing on fass.se (2022-04-26). It is voluntary for manufacturers to provide information about environmental impact on fass.se.
eprosartan,C09CA02,False,"SummaryHazard 3 P 3 B 0 T 0 Risk See below The data on hazard and risk are based on previous environmental information on fass.se. Environmental information is missing on fass.se (2019-11-27). The T-value in the score for hazard refers to chronic toxicity. It is voluntary for manufacturers to provide information about environmental impact on fass.se. For the risk, see the report Goodpoint 2019."
eptifibatide,B01AC16,False,SummaryHazard - P - B 0 T - Risk Cannot be excluded 
ergotamine,N02CA72,True,"SummaryHazard - P - B 0 T - Risk Cannot be excluded Underlying data for P, B, T and risk are from Fass."
erlotinib,L01XE03,False,SummaryHazard 3 P 3 B 0 T 0 Risk Insignificant
erythromycin,D10AF02,False,"SummaryThis summary information comes from Fass 2015 and the risk is from the report from Goodpoint. Persistence. Erythromycin is potentially persistent.Bioaccumulation. Erythromycin has low potential for bioaccumulation.Toxicity. Erythromycin has very high acute toxicity. However, studies on blue-green algae (Cyanophyta) according to CHMP guidelines are lacking.Risk. See below. Suggestions on how to reduce the emissions of erythromycin"
escitalopram,N06AB10,False,"SummaryEnvironmental information for escitalopram is missing on fass.se (2020-10-12). It is voluntary for manufacturers to provide information about environmental impact on fass.se. This summary information on persistence, bioaccumulation and toxicity is based on previous environmental information in Fass from 2017. For risk, see the environmental assessments from Goodpoint. Persistence. Escitalopram oxalate is slowly degraded in the environment.Bioaccumulation. Escitalopram oxalate has low potential for bioaccumultaion.Toxicity. Escitalopram has high chronic toxicity.Risk. See the environmental assessments from Goodpoint below. Citalopram is a racemate of which one of the enantiomers, escitalopram (S-form), has the pharmacological effect. In assessing the total environmental risk the quantity of sold citalopram should also be taken into account. Suggestions on how to reduce emissions of escitalopram and citalopram"
esmolol,C07AB09,False,SummaryHazard - P - B - T - Risk Cannot be excluded 
esomeprazole,A02BC05,False,"SummaryThis summary information about persistence, bioccumulation and toxicity comes from the assessment report. The risk is supported by all three references. Persistence. Esomeprazole is not persistent.Bioaccumulation. Esomeprazole has low potential for bioaccumulation.Toxicity. Esomeprazole has moderate chronic toxicity.Risk. The use of esomeprazole has been considered to result in insignificant environmental risk."
estradiol,G03CA03,False,"SummaryThis summary information on estradiol comes from Fass Novo Nordisk and Fass Bayer (persistence, bioaccumulation), Fass Bayer (toxicity) and the risk from the report Goodpoint. Persistence. Estradiol is slowly degraded in the environment.Bioaccumulation. Estradiol has low potential to bioaccumulate.Toxicity. Estradiol has very high chronic toxicity.Risk. See the report from Goodpoint. Suggestions on how to reduce emissions of estradiol"
estramustine,L01XX11,False,SummaryHazard - P - B - T - Risk Cannot be excluded 
estriol,G03CA04,False,"SummaryEnvironmental information is missing on fass.se for estriol (2021-04-21). It is voluntary for manufacturers to provide information about environmental impact on fass.se.Pharmaceutial residues in the aquatic environment in SwedenReport Pharmaceutial residues in the Stockholm aquatic environment. Estriol has been measured in treated wastewater at concentrations up to 20 ng/L in Stockholm, Sweden. The reduction rate in the wastewater treatment plants Henriksdal and Bromma is reported to be 98 %."
etanercept,L04AB01,False,"SummaryEtanercept is a protein. Risk. Use of amino acids, proteins and peptides is not considered to cause any environmental impact.  This summary information comes from Fass and corresponding information can be found in assessment reports. In the environmental information from Sandoz AS and Pfizer: Even though biomolecules are exempted they should still be regarded as biologically active. "
ethinylestradiol,G03AA12,True,"SummaryFor this summary, information on bioaccumulation comes from Fass Bayer, persistence and toxicity from Fass MSD and the risk from the Goodpoint report. Persistence. Ethinylestradiol is slowly degraded in the environmentBioaccumulation. Ethinylestradiol has high potential for bioaccumulation.Toxicity. Ethinylestradiol has a very high chronic toxicity.Risk. See the environmental assessment from Goodpoint below. Suggestions on how to reduce the emissions of ethinylestradiol"
ethosuximide,N03AD01,False,SummaryPersistence. No data.Bioaccumulation. No data.Toxicity. No data.Risk. Cannot be excluded. Environmental information is missing on fass.se for ethosuximide (2020-09-07). It is voluntary for manufacturers to provide information on environmental impact on fass.se.
ethylmorphine,R05DA01,False,SummaryHazard - P - B - T - Risk Cannot be excluded 
etidronicacid,M05BA01,False,SummaryHazard 5 P 3 B 0 T 2 Risk Insignificant
etilefrine,C01CA01,False,SummaryHazard 8* P 3 B 3* T 2* Risk Cannot be excluded
etonogestrel,G03AC08,False,SummaryThis summary information about hazard comes from fass.se. The risk is from the report by Goodpoint. Persistence. Etonogestrel is slowly degraded in the environment.Bioaccumulation. Etonogestrel has low potential for bioaccumulation.Toxicity. Etonogestrel has very high chronic toxicity.Risk. There is a risk associated with the use of etonogestrel/desogestrel and that these substances appear additive with other androgenic gestagens in the environment.
etoposide,L01CB01,False,SummaryHazard 3* P 3* B 0 T 0* Risk Cannot be excluded
etoricoxib,M01AH05,False,"SummaryHazard 4 P 3 B 0 T 1 Risk Low The T-value in the score for hazard refers to chronic toxicity. Underlying data for P, B and T are from Fass. The risk comes from the report Goodpoint 2019."
etravirine,J05AG04,False,SummaryHazard 6* P 3 B 0 T 3* Risk Insignificant
everolimus,L01XE10,False,SummaryHazard 8 P 3 B 3 T 2 Risk Insignificant 
exemestane,L02BG06,False,SummaryHazard - P - B - T - Risk Cannot be excluded 
exenatide,A10BX04,False,SummaryHazard - P - B - T - Risk Exempt
ezetimibe,C10AX09,False,SummaryPersistence. Ezetimibe is slowly degraded in the environment.Bioaccumulation. Ezetimibe has low potential for bioaccumulation.Toxicity. Ezetimibe has high chronic toxicity.Risk. See the report from Goodpoint 2019. This summary information about hazard comes from Fass. For the risk see the report from Goopoint 2019.
famciclovir,J05AB09,False,SummaryHazard 3 P 3 B 0 T 0 Risk Insignificant
febuxostat,M04AA03,False,"SummaryPersistence. It cannot be excluded that febuxostat is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that febuxostat bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that febuxostat is toxic, due to the lack of data.Risk. Risk of environmental impact of febuxostat cannot be excluded, due to the lack of environmental toxicity data.  Environmental information is missing on fass.se for febuxostat (2023-09-15). It is voluntary for manufacturers to provide information on environmental impact on fass.se."
felbamate,N03AX10,False,SummaryHazard 4* P 3 B 0 T 1* Risk Cannot be excluded
felodipine,C08CA02,False,"SummaryThis summary information about persistence, bioaccumulation och toxicity comes from Fass. The risk comes from the reports by Goodpoint. Persistence. Felodipine is potentially persistent.Bioaccumulation. Felodipine has low potential for bioaccumulation.Toxicity. Felodipine has very high acute toxicity.Risk. See below reports by Goodpoint. Suggestions on how to reduce emissions of felodipine"
fenofibrate,C10AB05,False,"SummaryEnvironmental information is missing for fenofibrate on fass.se (2021-04-15). It is voluntary for manufacturers to provide information about environmental impact on fass.se. This summary information on toxicity and persistence is based on previous environmental information on fass.se for Lipanthyl (fenofibrat) from Abbott (downloaded 2013-06-25). Bioaccumulation and risk come from the report from Goodpoint. Persistence. Fenofibrate is slowly degraded in the environment.Bioaccumulation. All fibrates examined are fat soluble with a log P between 3.9 and 5.2. This is likely low enough for some to be found in soluble form in surface water, but at the same time high enough to bioconcentrate effectively.Toxicity. Fenofibrate has low chronic toxicity.Risk. The use of bezafibrate, fenofibrate and gemfibrozil is not considered to pose an environmental risk."
fentanyl,N02AB03,False,"SummaryHazard 4 P 3 B 0 T 1 Risk Cannot be excluded The T-value in the PBT index refers to acute toxicity for the trophic level crustacean 11.1 mg fentanyl/L. This information and the information about P and B are from Fass environmental information for Durogesic (downloaded 2018-05-22). Data from the assessment report, see below, also gives the number 0 for B. The risk ""cannot be excluded"" is from Goodpoints report. In Sweden fentanyl has been found in surface waters at very low levels, but because of the expected high potency and expected bioconcentration, risk can not be excluded. Mechanism-based efficacy data is lacking. Fentanyl has previously been found in purified wastewater in Stockholm County (2005-2012)."
fesoterodine,G04BD11,False,SummaryHazard 0 P 0 B 0 T 0 Risk InsignificantThe T-value in the score for hazard refers to chronic toxicity. The data on hazard and risk are based on previous environmental information on fass.se. Environmental information is missing on fass.se (2019-12-04). It is voluntary for manufacturers to provide information about environmental impact on fass.se.
fexofenadine,R06AX26,False,"SummaryHazard 3 P 3 B 0 T 0 Risk See below The T-value in the score for hazard refers to acute toxicity. Underlying data for P, B and T are from Fass. Risk see the report Goodpoint 2019."
fibrinogen,B02BB01,False,"SummaryHazard - P - B - T - Risk Exempt This summary information comes from the assessment report for VeraSeal (fibrinogen, thrombin) and Fass environmental information for various drugs with fibrinogen. Risk. Exempt."
filgrastim,L03AA02,False,SummaryHazard - P - B - T - Risk Exempt This summary information comes from assessment reports and Fass. Risk. Exempt.
finasteride,G04CB01,False,SummaryPersistence. Finasteride is potentially persistent.Bioaccumulation. Finasteride has low potential for bioaccumulation.Toxicity. Finasteride has high chronic toxicity.Risk. The use of finasteride (sales data Sweden 2018) has been considered to result in insignificant environmental risk. This summary information comes from Fass.
fingolimod,L04AA27,False,SummaryHazard 3 P 0 B 0 T 3 Risk Insignificant 
flecainide,C01BC04,False,"SummaryPersistence. It cannot be excluded that flecainide is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that flecainide bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that flecainide is toxic, due to the lack of data.Risk. Risk of environmental impact of flecainide cannot be excluded, due to the lack of environmental toxicity data.  Environmental information is missing on fass.se for flecainide (2023-10-04). It is voluntary for manufacturers to provide information on environmental impact on fass.se. Flecainide has been detected in the water environment in Region Stockholm and elsewhere in Sweden."
flucloxacillin,J01CF05,False,"SummaryPersistence. It cannot be excluded that flucloxacillin is persistent, due to the lack of data.Bioaccumulation. Flucloxacillin has a low potential to bioaccumulate.Toxicity. It cannot be excluded that flucloxacillin is toxic, due to the lack of data.Risk. Risk of environmental impact of flucloxacillin cannot be excluded, due to the lack of environmental toxicity data. This summary information comes from Fass. It is voluntary for manufacturers to provide information on environmental impact on fass.se. For antibiotics in general, it is recommended that these pharmaceuticals are used as restrictively as possible without jeopardise the patient's health."
fluconazole,J02AC01,False,"SummaryEnvironmental information is available on fass.se for Diflucan (2021-09-21) but with information that data is missing.It is voluntary for manufacturers to provide information on environmental impact on fass.se. Data on bioaccumulation comes from previous environmental information on fass.se. Fluconazole is monitored within the framework of EU water legislation. Persistence. It cannot be excluded that fluconazole is persistent, due to the lack of data.Bioaccumulation. Fluconazole has low potential for bioaccumulation.Toxicity. It cannot be excluded that fluconazole is toxic, due to the lack of data.Risk. Risk of environmental impact cannot be excluded, due to lack of environmental toxicity data."
fludarabine,L01BB05,False,SummaryHazard - P - B - T - Risk Cannot be excluded 
flumazenil,V03AB25,False,SummaryHazard 4 P 3 B 0 T 1 Risk Insignificant
flunitrazepam,N05CD03,False,SummaryHazard 4* P 3 B 0 T 1* Risk Cannot be excluded
fluocinolone,D07CC02,True,"SummaryEnvironmental information is missing for fluocinolone on fass.se (2021-10-27). It is voluntary for manufacturers to provide information about environmental impact on fass.se. Persistence. It cannot be excluded that fluocinolone is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that fluocinolone bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that fluocinolone is toxic, due to the lack of data.Risk. Risk of environmental impact of fluocinolone cannot be excluded, due to the lack of environmental toxicity data."
fluocinoloneacetonide,C05AA10,False,"SummaryPersistence. It cannot be excluded that fluocinolone acetonide is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that fluocinolone acetonide bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that fluocinolone acetonide is toxic, due to the lack of data.Risk. Risk of environmental impact of fluocinolone acetonide cannot be excluded, due to the lack of environmental toxicity data.  Environmental information is missing on fass.se for fluocinolone acetonide 2023-05-24). It is voluntary for manufacturers to provide information on environmental impact on fass.se."
fluorescein,S01JA01,False,SummaryHazard - P - B 0 T - Risk Cannot be excluded 
fluorouracil,L01BC02,False,"SummaryPersistence. It cannot be excluded that fluorouracil is persistent, due to the lack of data.Bioaccumulation. Fluorouracil has low potential for bioaccumulation.Toxicity. It cannot be excluded that fluorouracil is toxic, due to the lack of data.Risk. Risk of environmental impact of fluorouracil cannot be excluded, due to the lack of environmental toxicity data. This summary information comes from Fass."
fluoxetine,N06AB03,False,"SummaryEnvironmental information about fluoxetine is missing on fass.se (2020-11-02). It is voluntary for manufacturers to provide information about environmental impact on fass.se. The data on persistence, bioaccumulation and toxicity are based on previous environmental information on Fass.se. The risk comes from the reports by Goodpoint. Persistence. Fluoxetine is potentially persistent.Bioaccumulation. Fluoxetine has low potential for bioaccumulation.Toxicity. Fluoxetine has very high chronic toxicity.Risk. See the reports by Goodpoint. Suggestions on how to reduce emissions of fluoxetine"
flupentixol,N05AF01,False,"SummaryEnvironmental information about flupentixol is missing on fass.se (2020-11-02). It is voluntary for manufacturers to provide information about environmental impact on fass.se. The data on persistence, bioaccumulation and toxicity are based on previous environmental information on Fass.se. The risk comes from the report by Goodpoint. Persistence. No data.Bioaccumulation. Flupentixol has high potential for bioaccumulation.Toxicity. No data.Risk. See the report by Goodpoint. Suggestions on how to reduce the emissions of flupentixol"
fluphenazine,N05AB02,False,"SummaryHazard 6* P 3 B 0 T 3* Risk Cannot be excluded The data on hazard and risk are based on previous environmental information on Fass.se. Environmental information is missing on fass.se (2019-02-15). It is voluntary for manufacturers to provide information about environmental impact on fass.se.Pharmaceutial residues in Sweden's aquatic environmentFluphenazine has previously been found in treated wastewater. The removal efficiencies has been set to over 80%. Fluphenazine has been included in measurements in Region Stockholm, latest check in 2017, but not being detected."
flutamide,L02BB01,False,SummaryHazard - P - B 0 T - Risk Cannot be excluded 
fluticasonefuroate,R01AD12,False,"SummaryThis summary information about persistence, bioaccumation and toxicity comes from assessment reports and Fass. The conclusion about persistence comes from the assessment reports. The risk comes from the assessment report from 2019. Persistence. Fluticasone furoate is persistent.Bioaccumulation. Fluticasone furoate has low potential for bioaccumulation.Toxicity. Fluticasone furoate has very high chronic toxicity.Risk. The use of fluticasone furoate has been considered to result in low environmental risk."
fluvastatin,C10AA04,False,SummaryHazard 4 P 3 B 0 T 1 Risk Insignificant
fluvoxamine,N06AB08,False,SummaryHazard 6 P 3 B 0 T 3 Risk Insignificant 
folicacid,B03BB01,False,SummaryExempt according to fass.se.
follitropinalfa,G03GA05,False,"SummaryFollitropin alfa has the same structure and activity as endogenous FSH. FSH is a pituitary hormone that controls the reproductive system in both males and females. Given the characteristics above, the performance of specific studies for Environmental Risk Assessment was not requested as proteins are biodegradable in the environment. Therefore, Bemfola/Ovaleap (follitropin alfa) is not expected to pose a risk to the environment. This summary information comes from assessment reports."
follitropinbeta,G03GA06,False,SummaryHazard - P - B - T - Risk Se below
fondaparinux,B01AX05,False,"SummaryPersistence. It cannot be excluded that fondaparinux is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that fondaparinux bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that fondaparinux is toxic, due to the lack of data.Risk. It is stated that fondaparinux is unlikely to result in significant risk to the environment.This summary information comes from the assessment report for Arixtra (fondaparinux sodium) and is according to the company."
formoterol,R03AC13,False,SummaryThis summary information comes from assessment reports and Fass. Persistence. Formoterol is potentially persistent.Bioaccumulation. Formoterol has low potential for bioaccumulation.Toxicity. Formoterol has moderate acute toxicity.Risk. The use of formoterol (sales data Sweden 2017) has been considered to result in insignificant environmental risk.
fosamprenavir,J05AE07,False,SummaryHazard 3 P 3 B 0 T 0 Risk Insignificant The T-value in the score for hazard refers to chronic toxicity.
fosinopril,C09AA09,False,SummaryHazard 4* P 3 B 0 T 1* Risk Insignificant The data on hazard and risk are based on previous environmental information on Fass.se. Environmental information is missing on fass.se (2019-03-11). It is voluntary for manufacturers to provide information about environmental impact on fass.se.
fosphenytoin,N03AB05,False,SummaryHazard - P - B - T - Risk Cannot be excluded 
framycetin,R01AX08,False,SummaryHazard - P - B 0 T - Risk Cannot be excluded 
fulvestrant,L02BA03,False,"SummaryHazard 3 P 0 B 0 T 3 Risk Low The T-value in the score for hazard refers to chronic toxicity. Underlying data for P, B and T are from assessment report, se below. Risk comes from Fass.se, see below."
furosemide,C03CA01,False,SummaryThis summary information comes from Fass. Information on bioaccumulation and risk is supported by the report from Goodpoint. Persistence. Furosemide is potentially persistent.Bioaccumulation. Furosemide has low potential for bioaccumulation.Toxicity. Furosemide has low acute toxicity.Risk. The use of furosemide (sales data Sweden 2018) has been considered to result in insignificant environmental risk.
fusidicacid,D06AX01,False,"SummaryPersistence. It cannot be excluded that fusidic acid is persistent, due to the lack of data.Bioaccumulation. Fusidic acid has low potential for bioaccumulation.Toxicity. It cannot be excluded that fusidic acid is toxic, due to the lack of data.Risk. Risk of environmental impact of fusidic acid cannot be excluded, due to the lack of environmental toxicity data."
gabapentin,N03AX12,False,"SummaryPersistence. It cannot be excluded that gabapentin is persistent, due to the lack of data.Bioaccumulation. Gabapentin has low potential for bioaccumulation.Toxicity. It cannot be excluded that gabapentin is toxic, due to the lack of data.Risk. Risk of environmental impact of gabapentin cannot be excluded, due to the lack of environmental toxicity data.This summary information comes from Fass."
